sensor1 sensor2 sensor3 sensor4 sensor5 sensor6 sensor7 sensor8 sensor9 sensor10 sensor11 sensor12 sensor13 sensor14 sensor15 sensor16
1679 3339 4980 1875 1484 2539 3339 1972 2324 1953 1660 1796 2695 2714 2070 2734
1699 3359 4980 1894 1503 2539 3339 1972 2343 1972 1679 1796 2714 2714 2070 2734
1699 3359 4980 1894 1503 2539 3339 1972 2343 1972 1679 1816 2695 2714 2070 2734
1699 3339 4980 1894 1503 2539 3339 1972 2343 1972 1679 1796 2695 2695 2070 2734
1699 3339 4980 1875 1503 2539 3339 1972 2343 1972 1679 1796 2695 2695 2050 2734
1699 3339 4980 1894 1503 2539 3339 1972 2343 1972 1679 1796 2695 2695 2050 2734
1699 3339 4980 1894 1503 2539 3339 1953 2343 1953 1660 1796 2675 2695 2050 2734
1699 3339 4980 1894 1503 2539 3339 1972 2343 1953 1679 1796 2675 2695 2050 2734
1699 3339 4980 1894 1503 2539 3339 1972 2343 1953 1660 1796 2675 2695 2050 2734
1699 3339 4980 1875 1503 2539 3339 1953 2343 1972 1679 1796 2675 2695 2050 2734
1718 3261 4980 1855 1484 2519 3300 1953 2343 1992 1718 1816 2812 2792 2207 2734
1718 3261 4980 1855 1484 2519 3300 1953 2343 1992 1718 1816 2792 2792 2207 2734
1699 3261 4980 1855 1464 2519 3300 1933 2324 1972 1699 1796 2792 2773 2187 2734
1699 3261 4980 1855 1464 2519 3300 1933 2343 1972 1699 1796 2792 2773 2187 2734
1699 3261 4980 1855 1464 2519 3300 1933 2343 1972 1699 1796 2773 2773 2187 2734
1699 3261 4980 1855 1464 2500 3281 1933 2324 1972 1699 1796 2773 2773 2187 2734
1699 3261 4980 1855 1464 2519 3300 1933 2343 1992 1699 1796 2792 2773 2187 2734
1718 3261 4980 1855 1484 2519 3320 1953 2343 1992 1699 1816 2792 2773 2187 2734
1718 3281 4980 1855 1484 2539 3320 1953 2343 1992 1699 1816 2792 2792 2187 2734
1718 3281 4980 1875 1484 2539 3320 1953 2343 1992 1718 1816 2792 2792 2187 2753
1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2812 2792 2187 2753
1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2812 2792 2187 2753
1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2812 2792 2187 2753
1738 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2812 2792 2187 2753
1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2812 2792 2187 2753
1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2792 2773 2167 2753
1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2792 2773 2167 2753
1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2792 2773 2167 2753
1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2792 2773 2167 2734
1718 3281 4980 1875 1484 2519 3320 1953 2343 1992 1718 1816 2773 2773 2167 2734
1718 3281 4980 1875 1484 2519 3320 1933 2343 1992 1699 1816 2773 2753 2167 2734
1718 3281 4980 1875 1484 2539 3320 1953 2343 1992 1699 1816 2773 2753 2167 2734
1718 3281 4980 1875 1484 2539 3320 1933 2343 1992 1699 1816 2773 2753 2148 2734
1718 3261 4980 1875 1484 2539 3320 1933 2343 1992 1699 1816 2773 2753 2148 2734
1718 3281 4980 1875 1484 2539 3320 1933 2343 1992 1699 1816 2773 2753 2148 2734
1718 3261 4980 1875 1484 2519 3320 1933 2343 1992 1699 1816 2773 2753 2148 2734
1718 3281 4980 1875 1484 2519 3320 1933 2343 1992 1699 1816 2773 2753 2148 2734
1718 3281 4980 1875 1484 2519 3320 1933 2343 1992 1699 1816 2773 2734 2148 2734
1699 3261 4980 1855 1484 2519 3320 1933 2343 1992 1699 1796 2773 2734 2128 2734
